id_seance,code_module,type_seance,date,heure_debut,heure_fin,salle,id_enseignant
1CP-G7-CLOUD-TD-MON-W1,CLOUD,TD,2026-04-13,09:30,11:00,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-MON-W1,UX-UI,TD,2026-04-13,09:30,11:00,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-TUE-W1,ARCHI-EVO,TD,2026-04-14,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-TUE-W1,ARCHI-EVO,TD,2026-04-14,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-TUE-W1,IA-INTRO,TD,2026-04-14,09:30,11:00,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-TUE-W1,DEV-WEB,TD,2026-04-14,09:30,11:00,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-TUE-W1,SECU,TD,2026-04-14,09:30,11:00,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-TUE-W1,BD-ANALYSE,TD,2026-04-14,09:30,11:00,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G7-CLOUD-TD-TUE-W1,CLOUD,TD,2026-04-14,09:30,11:00,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-TUE-W1,UX-UI,TD,2026-04-14,09:30,11:00,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-WED-W1,ARCHI-EVO,TD,2026-04-15,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-WED-W1,ARCHI-EVO,TD,2026-04-15,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-WED-W1,IA-INTRO,TD,2026-04-15,09:30,11:00,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-WED-W1,DEV-WEB,TD,2026-04-15,09:30,11:00,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-WED-W1,SECU,TD,2026-04-15,09:30,11:00,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-WED-W1,BD-ANALYSE,TD,2026-04-15,09:30,11:00,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G7-CLOUD-TD-WED-W1,CLOUD,TD,2026-04-15,09:30,11:00,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-WED-W1,UX-UI,TD,2026-04-15,09:30,11:00,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-THU-W1,ARCHI-EVO,TD,2026-04-16,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-THU-W1,ARCHI-EVO,TD,2026-04-16,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-THU-W1,IA-INTRO,TD,2026-04-16,09:30,11:00,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-THU-W1,DEV-WEB,TD,2026-04-16,09:30,11:00,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-THU-W1,SECU,TD,2026-04-16,09:30,11:00,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-THU-W1,BD-ANALYSE,TD,2026-04-16,09:30,11:00,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G7-CLOUD-TD-THU-W1,CLOUD,TD,2026-04-16,09:30,11:00,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-THU-W1,UX-UI,TD,2026-04-16,09:30,11:00,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-ARCHI-COURS-SUN-S2-W1,ARCHI-EVO,cours,2026-04-12,11:00,12:30,AMPHI-C,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-MON-S2-W1,ARCHI-EVO,TD,2026-04-13,11:00,12:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-MON-S2-W1,ARCHI-EVO,TD,2026-04-13,11:00,12:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-MON-S2-W1,IA-INTRO,TD,2026-04-13,11:00,12:30,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-MON-S2-W1,DEV-WEB,TD,2026-04-13,11:00,12:30,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-MON-S2-W1,SECU,TD,2026-04-13,11:00,12:30,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-MON-S2-W1,BD-ANALYSE,TD,2026-04-13,11:00,12:30,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G7-CLOUD-TD-MON-S2-W1,CLOUD,TD,2026-04-13,11:00,12:30,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-MON-S2-W1,UX-UI,TD,2026-04-13,11:00,12:30,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-TUE-S2-W1,ARCHI-EVO,TD,2026-04-14,11:00,12:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-TUE-S2-W1,ARCHI-EVO,TD,2026-04-14,11:00,12:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-TUE-S2-W1,IA-INTRO,TD,2026-04-14,11:00,12:30,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-TUE-S2-W1,DEV-WEB,TD,2026-04-14,11:00,12:30,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-TUE-S2-W1,SECU,TD,2026-04-14,11:00,12:30,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-TUE-S2-W1,BD-ANALYSE,TD,2026-04-14,11:00,12:30,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G7-CLOUD-TD-TUE-S2-W1,CLOUD,TD,2026-04-14,11:00,12:30,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-TUE-S2-W1,UX-UI,TD,2026-04-14,11:00,12:30,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-WED-S2-W1,ARCHI-EVO,TD,2026-04-15,11:00,12:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-WED-S2-W1,ARCHI-EVO,TD,2026-04-15,11:00,12:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-WED-S2-W1,IA-INTRO,TD,2026-04-15,11:00,12:30,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-WED-S2-W1,DEV-WEB,TD,2026-04-15,11:00,12:30,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-WED-S2-W1,SECU,TD,2026-04-15,11:00,12:30,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-WED-S2-W1,BD-ANALYSE,TD,2026-04-15,11:00,12:30,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G7-CLOUD-TD-WED-S2-W1,CLOUD,TD,2026-04-15,11:00,12:30,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-WED-S2-W1,UX-UI,TD,2026-04-15,11:00,12:30,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-SUN-S3-W1,ARCHI-EVO,TD,2026-04-12,14:00,15:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-SUN-S3-W1,ARCHI-EVO,TD,2026-04-12,14:00,15:30,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-ALGO-TD-COLL-MON-S3-W1,ALGO,TD,2026-04-13,14:00,15:30,AMPHI-A1-SUP,b2f1862e-7753-4039-8190-381ff41574a1
1CP-ALGO-COURS-MON-S4-W1,ALGO,cours,2026-04-13,15:30,17:00,AMPHI-C,b2f1862e-7753-4039-8190-381ff41574a1
1CP-MATH-COURS-TUE-S4-W1,MATH,cours,2026-04-14,15:30,17:00,AMPHI-A1-SUP,b2f1862e-7753-4039-8190-381ff41574a1
